Media Type,Post Date,Political Party
GraphVideo,2024-03-01 13:18:56,CH
GraphImage,2024-03-01 12:16:48,CH
GraphVideo,2024-03-01 10:25:40,CH
GraphImage,2024-02-29 21:53:46,CH
GraphVideo,2024-02-29 19:25:23,CH
GraphImage,2024-02-29 14:42:46,CH
GraphVideo,2024-02-29 12:17:56,CH
GraphImage,2024-02-29 09:43:41,CH
GraphVideo,2024-02-28 23:34:53,CH
GraphImage,2024-02-28 21:49:49,CH
GraphImage,2024-02-28 19:59:30,CH
GraphVideo,2024-02-28 19:59:09,CH
GraphVideo,2024-02-28 17:44:39,CH
GraphVideo,2024-02-28 17:14:16,CH
GraphVideo,2024-02-28 14:39:35,CH
GraphVideo,2024-02-28 12:56:54,CH
GraphSidecar,2024-02-28 11:42:15,CH
GraphVideo,2024-02-28 11:37:10,CH
GraphVideo,2024-02-28 10:55:18,CH
GraphVideo,2024-02-27 22:23:17,CH
GraphVideo,2024-02-27 21:51:55,CH
GraphVideo,2024-02-27 20:28:48,CH
GraphVideo,2024-02-27 17:56:19,CH
GraphVideo,2024-02-27 11:10:15,CH
GraphImage,2024-02-26 23:49:42,CH
GraphVideo,2024-02-26 23:39:38,CH
GraphVideo,2024-02-26 23:22:41,CH
GraphVideo,2024-02-26 21:38:20,CH
GraphImage,2024-02-26 21:11:34,CH
GraphVideo,2024-02-26 20:01:08,CH
GraphImage,2024-02-26 19:40:00,CH
GraphVideo,2024-02-26 19:23:52,CH
GraphImage,2024-02-26 18:00:24,CH
GraphImage,2024-02-26 17:03:40,CH
GraphVideo,2024-02-26 15:20:27,CH
GraphVideo,2024-02-26 14:11:17,CH
GraphImage,2024-02-26 12:52:54,CH
GraphVideo,2024-02-26 10:48:20,CH
GraphImage,2024-02-26 10:45:22,CH
GraphImage,2024-02-26 08:46:42,CH
GraphVideo,2024-02-26 02:00:21,CH
GraphImage,2024-02-25 21:28:25,CH
GraphImage,2024-02-25 21:10:33,CH
GraphVideo,2024-02-25 20:55:36,CH
GraphVideo,2024-02-25 18:14:57,CH
GraphImage,2024-02-25 16:59:47,CH
GraphImage,2024-02-25 14:59:02,CH
GraphImage,2024-02-25 12:17:21,CH
GraphVideo,2024-02-25 11:57:53,CH
GraphImage,2024-02-25 11:22:52,CH
GraphVideo,2024-02-24 16:03:20,CH
GraphSidecar,2024-02-24 13:27:31,CH
GraphImage,2024-02-24 12:11:52,CH
GraphVideo,2024-02-24 10:24:30,CH
GraphVideo,2024-02-23 22:54:02,CH
GraphImage,2024-02-23 20:16:50,CH
GraphVideo,2024-02-23 19:50:35,CH
GraphVideo,2024-02-23 13:42:44,CH
GraphVideo,2024-02-23 13:18:40,CH
GraphImage,2024-02-23 13:12:54,CH
GraphVideo,2024-02-23 12:13:28,CH
GraphImage,2024-02-23 11:04:01,CH
GraphImage,2024-02-22 22:17:15,CH
GraphImage,2024-02-22 14:00:52,CH
GraphImage,2024-02-22 12:41:45,CH
GraphImage,2024-02-22 08:21:01,CH
GraphVideo,2024-02-21 22:02:53,CH
GraphVideo,2024-02-21 19:51:15,CH
GraphImage,2024-02-21 19:21:11,CH
GraphVideo,2024-02-21 13:11:06,CH
GraphVideo,2024-02-21 12:36:51,CH
GraphSidecar,2024-02-21 12:21:17,CH
GraphVideo,2024-02-20 20:28:47,CH
GraphImage,2024-02-20 19:43:12,CH
GraphImage,2024-02-20 19:17:31,CH
GraphVideo,2024-02-20 15:10:37,CH
GraphVideo,2024-02-20 09:13:17,CH
GraphVideo,2024-02-19 20:02:41,CH
GraphImage,2024-02-19 19:22:52,CH
GraphImage,2024-02-19 18:44:00,CH
GraphImage,2024-02-19 17:32:39,CH
GraphImage,2024-02-19 12:48:31,CH
GraphImage,2024-02-18 14:00:39,CH
GraphVideo,2024-02-18 11:23:28,CH
GraphImage,2024-02-17 23:18:09,CH
GraphImage,2024-02-17 18:19:00,CH
GraphVideo,2024-02-17 13:25:06,CH
GraphVideo,2024-02-16 23:50:24,CH
GraphVideo,2024-02-16 22:46:51,CH
GraphImage,2024-02-16 22:09:52,CH
GraphImage,2024-02-16 19:51:14,CH
GraphImage,2024-02-16 13:50:24,CH
GraphImage,2024-02-16 12:18:43,CH
GraphImage,2024-02-16 10:57:19,CH
GraphImage,2024-02-16 10:46:37,CH
GraphVideo,2024-02-16 09:14:38,CH
GraphImage,2024-02-15 21:32:00,CH
GraphImage,2024-02-15 19:26:18,CH
GraphImage,2024-02-15 17:22:00,CH
GraphImage,2024-02-15 11:54:39,CH
GraphVideo,2024-02-15 10:39:15,CH
GraphVideo,2024-02-14 23:20:34,CH
GraphVideo,2024-02-14 21:37:24,CH
GraphImage,2024-02-14 21:12:03,CH
GraphImage,2024-02-14 20:50:33,CH
GraphImage,2024-02-14 16:04:17,CH
GraphImage,2024-02-14 14:22:22,CH
GraphVideo,2024-02-14 00:34:09,CH
GraphVideo,2024-02-13 22:37:16,CH
GraphImage,2024-02-13 22:07:05,CH
GraphVideo,2024-02-13 20:57:59,CH
GraphSidecar,2024-02-13 19:27:25,CH
GraphImage,2024-02-13 18:56:10,CH
GraphVideo,2024-02-13 18:34:03,CH
GraphImage,2024-02-13 12:28:50,CH
GraphImage,2024-02-13 11:08:01,CH
GraphVideo,2024-02-13 08:15:52,CH
GraphVideo,2024-02-12 22:25:01,CH
GraphVideo,2024-02-12 21:37:20,CH
GraphImage,2024-02-12 21:08:13,CH
GraphImage,2024-02-12 20:43:44,CH
GraphImage,2024-02-12 12:29:54,CH
GraphVideo,2024-02-12 08:35:11,CH
GraphImage,2024-02-11 15:12:23,CH
GraphImage,2024-02-10 21:41:07,CH
GraphVideo,2024-02-10 17:23:17,CH
GraphVideo,2024-02-09 22:50:21,CH
GraphImage,2024-02-09 22:10:33,CH
GraphImage,2024-02-09 13:31:41,CH
GraphImage,2024-02-09 12:06:19,CH
GraphVideo,2024-02-09 12:05:00,CH
GraphImage,2024-02-09 10:09:29,CH
GraphVideo,2024-02-09 08:24:42,CH
GraphVideo,2024-02-08 20:58:54,CH
GraphImage,2024-02-08 13:02:09,CH
GraphVideo,2024-02-08 08:23:23,CH
GraphImage,2024-02-07 23:11:49,CH
GraphImage,2024-02-07 21:27:48,CH
GraphVideo,2024-02-07 21:11:37,CH
GraphVideo,2024-02-07 15:32:13,CH
GraphVideo,2024-02-07 12:12:59,CH
GraphVideo,2024-02-07 08:52:08,CH
GraphVideo,2024-02-06 22:50:20,CH
GraphImage,2024-02-06 22:10:49,CH
GraphVideo,2024-02-06 18:16:01,CH
GraphImage,2024-02-06 17:27:35,CH
GraphVideo,2024-02-06 16:46:09,CH
GraphImage,2024-02-06 14:53:16,CH
GraphImage,2024-02-06 14:45:46,CH
GraphVideo,2024-02-06 08:28:49,CH
GraphSidecar,2024-02-05 19:50:43,CH
GraphVideo,2024-02-05 18:49:14,CH
GraphImage,2024-02-05 17:07:23,CH
GraphVideo,2024-02-05 13:31:33,CH
GraphImage,2024-02-04 23:33:00,CH
GraphVideo,2024-02-03 16:02:18,CH
GraphVideo,2024-02-02 23:17:22,CH
GraphImage,2024-02-02 18:47:17,CH
GraphVideo,2024-02-02 14:16:14,CH
GraphImage,2024-02-01 21:31:30,CH
GraphVideo,2024-02-01 21:30:28,CH
GraphImage,2024-02-01 17:27:40,CH
GraphImage,2024-02-01 12:17:52,CH
GraphVideo,2024-02-01 11:05:46,CH
GraphSidecar,2024-01-31 23:39:50,CH
GraphImage,2024-01-31 23:31:18,CH
GraphVideo,2024-01-31 17:43:36,CH
GraphImage,2024-01-31 16:10:05,CH
