Media Type,Post Date,Political Party
GraphImage,2024-02-26 21:47:40,IL
GraphSidecar,2024-02-26 14:51:35,IL
GraphVideo,2024-02-25 19:02:27,IL
GraphVideo,2024-02-25 17:13:00,IL
GraphImage,2024-02-25 14:49:24,IL
GraphVideo,2024-02-25 12:24:20,IL
GraphImage,2024-02-25 10:43:49,IL
GraphImage,2024-02-24 20:26:37,IL
GraphVideo,2024-02-24 14:52:31,IL
GraphVideo,2024-02-24 11:39:34,IL
GraphVideo,2024-02-23 22:33:17,IL
GraphImage,2024-02-23 22:19:45,IL
GraphImage,2024-02-23 20:46:03,IL
GraphImage,2024-02-23 17:09:39,IL
GraphImage,2024-02-23 15:54:24,IL
GraphSidecar,2024-02-23 11:16:41,IL
GraphImage,2024-02-23 10:35:59,IL
GraphImage,2024-02-22 20:38:50,IL
GraphVideo,2024-02-20 23:37:51,IL
GraphSidecar,2024-02-20 21:33:32,IL
GraphVideo,2024-02-20 16:32:57,IL
GraphImage,2024-02-20 16:12:17,IL
GraphImage,2024-02-20 15:26:10,IL
GraphVideo,2024-02-20 13:35:22,IL
GraphImage,2024-02-19 22:45:05,IL
GraphImage,2024-02-19 21:50:09,IL
GraphImage,2024-02-19 20:57:23,IL
GraphImage,2024-02-19 20:25:25,IL
GraphImage,2024-02-19 10:03:55,IL
GraphVideo,2024-02-19 00:24:59,IL
GraphVideo,2024-02-18 22:01:41,IL
GraphImage,2024-02-18 21:01:47,IL
GraphImage,2024-02-18 13:18:33,IL
GraphSidecar,2024-02-17 22:10:59,IL
GraphImage,2024-02-17 18:05:54,IL
GraphSidecar,2024-02-17 14:30:31,IL
GraphImage,2024-02-17 13:25:58,IL
GraphSidecar,2024-02-16 19:15:28,IL
GraphImage,2024-02-16 16:27:45,IL
GraphVideo,2024-02-15 20:52:57,IL
GraphVideo,2024-02-15 19:24:48,IL
GraphVideo,2024-02-15 18:59:53,IL
GraphImage,2024-02-15 18:44:04,IL
GraphImage,2024-02-15 15:20:29,IL
GraphVideo,2024-02-15 13:15:43,IL
GraphImage,2024-02-14 20:53:38,IL
GraphImage,2024-02-14 18:37:09,IL
GraphImage,2024-02-14 16:03:08,IL
GraphImage,2024-02-14 11:59:56,IL
GraphVideo,2024-02-13 21:10:58,IL
GraphImage,2024-02-13 16:13:54,IL
GraphImage,2024-02-13 11:18:21,IL
GraphVideo,2024-02-12 22:36:25,IL
GraphImage,2024-02-12 18:05:21,IL
GraphImage,2024-02-12 17:50:29,IL
GraphImage,2024-02-12 17:06:55,IL
GraphImage,2024-02-12 15:32:54,IL
GraphSidecar,2024-02-12 12:40:01,IL
GraphVideo,2024-02-11 23:03:49,IL
GraphSidecar,2024-02-11 17:50:35,IL
GraphImage,2024-02-10 15:01:43,IL
GraphImage,2024-02-10 12:57:13,IL
GraphVideo,2024-02-09 22:20:57,IL
GraphSidecar,2024-02-09 18:30:24,IL
GraphImage,2024-02-09 15:29:01,IL
GraphImage,2024-02-09 13:33:10,IL
GraphVideo,2024-02-09 09:53:15,IL
GraphSidecar,2024-02-08 23:25:51,IL
GraphImage,2024-02-08 20:09:09,IL
GraphVideo,2024-02-08 18:28:47,IL
GraphVideo,2024-02-07 19:56:48,IL
GraphVideo,2024-02-07 19:15:59,IL
GraphImage,2024-02-07 17:45:37,IL
GraphImage,2024-02-07 16:29:20,IL
GraphImage,2024-02-07 13:53:15,IL
GraphVideo,2024-02-07 11:53:46,IL
GraphImage,2024-02-07 00:14:07,IL
GraphImage,2024-02-06 23:44:15,IL
GraphImage,2024-02-06 23:32:29,IL
GraphVideo,2024-02-06 23:06:42,IL
GraphVideo,2024-02-06 20:25:34,IL
GraphImage,2024-02-06 18:49:24,IL
GraphImage,2024-02-06 16:35:12,IL
GraphImage,2024-02-06 13:26:03,IL
GraphImage,2024-02-06 12:07:44,IL
GraphVideo,2024-02-05 22:37:35,IL
GraphImage,2024-02-05 16:54:27,IL
GraphImage,2024-02-04 23:38:43,IL
GraphImage,2024-02-03 16:10:37,IL
GraphImage,2024-02-03 13:24:00,IL
GraphImage,2024-02-02 22:53:35,IL
GraphImage,2024-02-02 20:14:23,IL
GraphSidecar,2024-02-01 20:00:41,IL
GraphVideo,2024-01-31 22:02:30,IL
GraphImage,2024-01-31 20:55:35,IL
GraphImage,2024-01-31 18:27:20,IL
GraphImage,2024-01-31 15:01:29,IL
GraphImage,2024-01-30 21:53:48,IL
GraphImage,2024-01-30 20:42:37,IL
GraphVideo,2024-01-30 20:23:58,IL
GraphSidecar,2024-01-28 20:20:27,IL
GraphImage,2024-01-28 17:43:39,IL
GraphImage,2024-01-28 16:19:28,IL
GraphImage,2024-01-28 14:14:04,IL
GraphVideo,2024-01-27 16:30:19,IL
GraphImage,2024-01-27 12:19:11,IL
GraphImage,2024-01-26 21:59:37,IL
GraphVideo,2024-01-25 22:21:34,IL
GraphImage,2024-01-25 20:49:47,IL
GraphImage,2024-01-25 17:16:28,IL
GraphVideo,2024-01-24 15:16:57,IL
GraphImage,2024-01-24 13:18:26,IL
GraphVideo,2024-01-23 21:11:53,IL
GraphVideo,2024-01-23 14:38:53,IL
GraphImage,2024-01-20 21:02:11,IL
GraphImage,2024-01-20 16:01:18,IL
GraphVideo,2024-01-20 14:19:38,IL
GraphImage,2024-01-19 20:47:32,IL
GraphVideo,2024-01-19 11:44:31,IL
GraphImage,2024-01-16 21:47:19,IL
GraphImage,2024-01-16 15:40:10,IL
GraphImage,2024-01-15 22:06:59,IL
GraphVideo,2024-01-14 21:43:33,IL
GraphImage,2024-01-14 16:06:15,IL
GraphVideo,2024-01-14 12:57:58,IL
GraphVideo,2024-01-13 19:57:08,IL
GraphVideo,2024-01-09 22:09:58,IL
GraphVideo,2024-01-09 17:15:24,IL
