Media Type,Post Date,Political Party
GraphSidecar,2024-01-24 12:08:39,L
GraphVideo,2024-01-23 21:25:06,L
GraphImage,2024-01-23 20:08:04,L
GraphSidecar,2024-01-23 15:58:11,L
GraphImage,2024-01-22 18:49:35,L
GraphSidecar,2024-01-22 16:08:30,L
GraphImage,2024-01-22 12:32:41,L
GraphVideo,2024-01-21 12:00:08,L
GraphSidecar,2024-01-21 09:50:20,L
GraphImage,2024-01-20 16:52:10,L
GraphImage,2024-01-19 17:41:26,L
GraphSidecar,2024-01-19 11:41:27,L
GraphVideo,2024-01-18 20:10:53,L
GraphImage,2024-01-18 12:15:34,L
GraphImage,2024-01-17 19:15:23,L
GraphVideo,2024-01-17 15:30:25,L
GraphImage,2024-01-12 19:06:59,L
GraphImage,2024-01-12 17:13:35,L
GraphImage,2024-01-12 15:18:13,L
GraphImage,2024-01-12 14:55:34,L
GraphVideo,2024-01-11 19:26:59,L
GraphImage,2024-01-10 19:15:16,L
GraphSidecar,2024-01-10 16:07:32,L
GraphImage,2024-01-10 11:08:12,L
GraphSidecar,2024-01-10 09:47:10,L
GraphSidecar,2024-01-09 19:32:42,L
GraphSidecar,2024-01-09 16:59:02,L
GraphVideo,2024-01-08 16:30:56,L
