Media Type,Post Date,Political Party
GraphSidecar,2024-02-20 17:44:43,PCP
GraphSidecar,2024-02-20 14:59:43,PCP
GraphSidecar,2024-02-19 21:49:53,PCP
GraphSidecar,2024-02-18 20:54:49,PCP
GraphVideo,2024-02-18 20:15:40,PCP
GraphImage,2024-02-18 19:34:11,PCP
GraphImage,2024-02-18 18:06:12,PCP
GraphSidecar,2024-02-18 17:20:48,PCP
GraphVideo,2024-02-18 13:32:53,PCP
GraphSidecar,2024-02-18 09:34:20,PCP
GraphSidecar,2024-02-18 09:10:25,PCP
GraphVideo,2024-02-18 00:57:27,PCP
GraphImage,2024-02-18 00:26:19,PCP
GraphSidecar,2024-02-17 19:49:18,PCP
GraphImage,2024-02-17 18:16:13,PCP
GraphImage,2024-02-17 18:06:16,PCP
GraphImage,2024-02-17 16:18:11,PCP
GraphVideo,2024-02-16 22:20:43,PCP
GraphImage,2024-02-16 21:05:25,PCP
GraphSidecar,2024-02-16 20:09:57,PCP
GraphSidecar,2024-02-16 19:29:17,PCP
GraphImage,2024-02-16 19:20:12,PCP
GraphVideo,2024-02-16 18:17:57,PCP
GraphImage,2024-02-16 18:14:55,PCP
GraphSidecar,2024-02-16 14:13:07,PCP
GraphImage,2024-02-16 08:00:47,PCP
GraphSidecar,2024-02-16 00:26:11,PCP
GraphSidecar,2024-02-15 23:45:27,PCP
GraphVideo,2024-02-15 22:48:26,PCP
GraphVideo,2024-02-15 22:04:53,PCP
GraphImage,2024-02-15 17:12:42,PCP
GraphImage,2024-02-15 14:10:06,PCP
GraphVideo,2024-02-15 00:37:33,PCP
GraphImage,2024-02-14 23:57:55,PCP
GraphImage,2024-02-14 18:26:56,PCP
GraphSidecar,2024-02-14 14:16:33,PCP
GraphVideo,2024-02-13 22:11:26,PCP
GraphVideo,2024-02-13 21:13:19,PCP
GraphImage,2024-02-13 20:12:02,PCP
GraphImage,2024-02-13 19:06:13,PCP
GraphVideo,2024-02-13 18:16:35,PCP
GraphSidecar,2024-02-13 17:24:18,PCP
GraphImage,2024-02-13 00:17:52,PCP
GraphVideo,2024-02-12 20:23:11,PCP
GraphImage,2024-02-12 18:46:12,PCP
GraphVideo,2024-02-12 18:36:27,PCP
GraphVideo,2024-02-12 00:14:19,PCP
GraphSidecar,2024-02-11 19:06:12,PCP
GraphVideo,2024-02-11 17:45:27,PCP
GraphImage,2024-02-11 15:24:11,PCP
GraphImage,2024-02-11 14:42:04,PCP
GraphVideo,2024-02-11 11:31:36,PCP
GraphVideo,2024-02-11 00:02:22,PCP
GraphImage,2024-02-10 19:53:03,PCP
GraphSidecar,2024-02-10 18:44:41,PCP
GraphImage,2024-02-10 18:28:14,PCP
GraphImage,2024-02-10 18:11:09,PCP
GraphVideo,2024-02-10 13:27:23,PCP
GraphVideo,2024-02-10 00:54:25,PCP
GraphVideo,2024-02-09 19:52:08,PCP
GraphImage,2024-02-09 19:02:12,PCP
GraphImage,2024-02-09 18:16:06,PCP
GraphImage,2024-02-09 18:08:08,PCP
GraphSidecar,2024-02-09 17:45:51,PCP
GraphImage,2024-02-09 17:19:40,PCP
GraphSidecar,2024-02-09 10:35:13,PCP
GraphVideo,2024-02-08 17:47:44,PCP
GraphSidecar,2024-02-08 12:56:33,PCP
GraphImage,2024-02-08 08:18:07,PCP
GraphSidecar,2024-02-07 23:32:04,PCP
GraphSidecar,2024-02-07 18:39:46,PCP
GraphSidecar,2024-02-07 18:25:32,PCP
GraphImage,2024-02-07 16:53:51,PCP
GraphImage,2024-02-07 16:45:00,PCP
GraphVideo,2024-02-07 13:42:56,PCP
GraphVideo,2024-02-07 09:16:42,PCP
GraphSidecar,2024-02-07 06:30:48,PCP
GraphVideo,2024-02-06 23:16:48,PCP
GraphVideo,2024-02-06 23:02:41,PCP
GraphImage,2024-02-06 14:51:23,PCP
GraphVideo,2024-02-06 12:55:50,PCP
GraphVideo,2024-02-06 10:44:12,PCP
GraphVideo,2024-02-06 10:36:03,PCP
GraphSidecar,2024-02-06 07:50:05,PCP
GraphVideo,2024-02-05 20:57:50,PCP
GraphVideo,2024-02-05 18:40:42,PCP
GraphVideo,2024-02-05 10:54:47,PCP
GraphSidecar,2024-02-05 07:34:59,PCP
GraphSidecar,2024-02-05 00:44:05,PCP
GraphSidecar,2024-02-04 20:56:59,PCP
GraphImage,2024-02-04 18:06:12,PCP
GraphSidecar,2024-02-04 17:27:15,PCP
GraphSidecar,2024-02-04 13:27:29,PCP
GraphSidecar,2024-02-04 10:45:33,PCP
GraphSidecar,2024-02-03 21:53:57,PCP
GraphSidecar,2024-02-03 12:27:00,PCP
GraphImage,2024-02-03 09:36:09,PCP
GraphSidecar,2024-02-03 08:43:43,PCP
GraphSidecar,2024-02-03 01:34:10,PCP
GraphVideo,2024-02-02 19:46:22,PCP
GraphSidecar,2024-02-02 19:15:40,PCP
GraphImage,2024-02-02 18:38:34,PCP
GraphImage,2024-02-02 18:06:09,PCP
GraphVideo,2024-02-02 13:23:19,PCP
GraphImage,2024-02-01 23:55:13,PCP
GraphVideo,2024-02-01 22:23:15,PCP
GraphVideo,2024-02-01 21:39:53,PCP
GraphVideo,2024-02-01 18:35:51,PCP
GraphSidecar,2024-02-01 17:24:06,PCP
GraphSidecar,2024-02-01 15:39:39,PCP
GraphVideo,2024-02-01 10:33:50,PCP
GraphImage,2024-02-01 09:09:59,PCP
GraphImage,2024-01-31 17:02:29,PCP
GraphVideo,2024-01-31 17:01:17,PCP
GraphImage,2024-01-31 12:33:57,PCP
GraphVideo,2024-01-31 00:50:48,PCP
GraphVideo,2024-01-30 20:43:43,PCP
GraphSidecar,2024-01-30 20:32:21,PCP
GraphVideo,2024-01-30 19:38:01,PCP
GraphImage,2024-01-29 23:11:17,PCP
GraphImage,2024-01-29 16:51:14,PCP
GraphSidecar,2024-01-29 12:28:18,PCP
GraphVideo,2024-01-29 10:49:50,PCP
GraphImage,2024-01-28 12:13:16,PCP
GraphVideo,2024-01-27 22:00:03,PCP
GraphVideo,2024-01-27 19:43:41,PCP
GraphSidecar,2024-01-27 16:13:46,PCP
GraphSidecar,2024-01-27 13:44:30,PCP
GraphImage,2024-01-27 10:06:10,PCP
GraphVideo,2024-01-27 00:21:07,PCP
GraphImage,2024-01-26 19:58:04,PCP
GraphImage,2024-01-26 18:02:09,PCP
GraphImage,2024-01-26 11:54:47,PCP
GraphSidecar,2024-01-26 09:20:29,PCP
GraphImage,2024-01-25 19:44:30,PCP
GraphImage,2024-01-25 17:33:03,PCP
GraphSidecar,2024-01-25 10:22:41,PCP
GraphImage,2024-01-25 10:03:49,PCP
GraphSidecar,2024-01-24 17:26:51,PCP
GraphSidecar,2024-01-24 17:15:51,PCP
GraphSidecar,2024-01-24 07:14:38,PCP
GraphSidecar,2024-01-23 23:33:32,PCP
GraphSidecar,2024-01-23 22:31:34,PCP
GraphImage,2024-01-23 16:27:25,PCP
GraphImage,2024-01-23 16:07:09,PCP
GraphSidecar,2024-01-23 15:02:14,PCP
GraphSidecar,2024-01-23 11:13:38,PCP
GraphSidecar,2024-01-22 13:05:56,PCP
GraphSidecar,2024-01-22 08:22:05,PCP
GraphSidecar,2024-01-21 22:56:11,PCP
GraphImage,2024-01-21 20:33:41,PCP
GraphImage,2024-01-20 23:45:52,PCP
GraphVideo,2024-01-20 19:24:28,PCP
GraphSidecar,2024-01-19 21:49:13,PCP
GraphImage,2024-01-19 18:06:10,PCP
GraphSidecar,2024-01-19 08:16:38,PCP
GraphImage,2024-01-18 21:52:56,PCP
GraphSidecar,2024-01-18 19:48:30,PCP
GraphImage,2024-01-18 18:49:25,PCP
GraphImage,2024-01-18 17:56:06,PCP
GraphImage,2024-01-18 16:26:49,PCP
GraphSidecar,2024-01-18 15:51:19,PCP
GraphImage,2024-01-18 11:04:49,PCP
GraphImage,2024-01-18 10:54:11,PCP
GraphSidecar,2024-01-18 10:53:43,PCP
GraphVideo,2024-01-18 10:37:47,PCP
GraphImage,2024-01-18 07:37:09,PCP
GraphVideo,2024-01-17 16:58:58,PCP
GraphSidecar,2024-01-17 15:45:15,PCP
GraphSidecar,2024-01-17 13:04:14,PCP
GraphSidecar,2024-01-17 07:59:46,PCP
GraphSidecar,2024-01-16 21:24:34,PCP
GraphSidecar,2024-01-16 20:47:34,PCP
GraphSidecar,2024-01-16 19:03:08,PCP
GraphVideo,2024-01-16 16:29:07,PCP
GraphVideo,2024-01-16 15:15:14,PCP
GraphSidecar,2024-01-16 14:15:25,PCP
GraphSidecar,2024-01-16 10:43:54,PCP
GraphSidecar,2024-01-16 10:36:36,PCP
GraphSidecar,2024-01-16 08:58:32,PCP
GraphVideo,2024-01-15 21:51:39,PCP
GraphSidecar,2024-01-15 17:02:49,PCP
GraphSidecar,2024-01-15 14:18:06,PCP
GraphVideo,2024-01-15 12:53:44,PCP
GraphImage,2024-01-15 07:09:16,PCP
GraphVideo,2024-01-15 00:46:09,PCP
GraphSidecar,2024-01-14 22:22:34,PCP
GraphVideo,2024-01-14 11:58:05,PCP
GraphSidecar,2024-01-14 11:37:41,PCP
GraphVideo,2024-01-14 10:31:37,PCP
GraphImage,2024-01-14 10:02:50,PCP
GraphImage,2024-01-14 09:55:33,PCP
GraphImage,2024-01-14 09:20:13,PCP
GraphSidecar,2024-01-13 22:46:18,PCP
GraphSidecar,2024-01-13 19:32:50,PCP
GraphImage,2024-01-13 19:06:06,PCP
GraphSidecar,2024-01-13 14:54:41,PCP
GraphSidecar,2024-01-12 22:31:45,PCP
GraphSidecar,2024-01-12 20:38:43,PCP
GraphImage,2024-01-12 18:07:08,PCP
GraphImage,2024-01-12 16:59:28,PCP
GraphImage,2024-01-12 16:40:35,PCP
GraphImage,2024-01-12 15:47:09,PCP
GraphImage,2024-01-12 14:35:58,PCP
GraphSidecar,2024-01-12 11:54:42,PCP
GraphSidecar,2024-01-12 08:12:14,PCP
GraphSidecar,2024-01-11 21:59:51,PCP
GraphSidecar,2024-01-11 21:55:06,PCP
GraphImage,2024-01-11 17:07:18,PCP
GraphSidecar,2024-01-11 14:21:43,PCP
GraphVideo,2024-01-11 12:59:50,PCP
GraphImage,2024-01-11 11:49:37,PCP
GraphSidecar,2024-01-11 09:30:36,PCP
GraphVideo,2024-01-11 02:59:27,PCP
GraphImage,2024-01-11 00:37:32,PCP
GraphSidecar,2024-01-10 20:25:54,PCP
GraphSidecar,2024-01-10 19:49:49,PCP
GraphSidecar,2024-01-10 19:22:31,PCP
GraphSidecar,2024-01-10 18:44:47,PCP
GraphVideo,2024-01-10 17:53:18,PCP
GraphImage,2024-01-10 16:11:52,PCP
GraphImage,2024-01-10 14:44:54,PCP
GraphSidecar,2024-01-10 10:08:47,PCP
GraphSidecar,2024-01-10 02:02:19,PCP
GraphVideo,2024-01-09 21:57:05,PCP
GraphSidecar,2024-01-09 21:54:56,PCP
GraphVideo,2024-01-09 20:02:43,PCP
GraphImage,2024-01-09 13:08:21,PCP
GraphSidecar,2024-01-09 07:52:59,PCP
GraphImage,2024-01-08 23:17:15,PCP
GraphSidecar,2024-01-08 20:26:59,PCP
GraphVideo,2024-01-08 17:28:10,PCP
GraphVideo,2024-01-08 16:47:38,PCP
GraphVideo,2024-01-08 16:21:17,PCP
GraphVideo,2024-01-08 15:04:36,PCP
GraphSidecar,2024-01-08 14:30:36,PCP
GraphSidecar,2024-01-08 08:35:58,PCP
GraphSidecar,2024-01-07 22:39:51,PCP
GraphVideo,2024-01-07 20:40:39,PCP
GraphImage,2024-01-07 18:06:10,PCP
GraphSidecar,2024-01-07 13:02:32,PCP
GraphSidecar,2024-01-07 03:22:56,PCP
GraphSidecar,2024-01-06 23:57:57,PCP
GraphImage,2024-01-06 20:18:43,PCP
GraphVideo,2024-01-06 17:55:02,PCP
GraphSidecar,2024-01-06 17:03:03,PCP
GraphSidecar,2024-01-06 12:36:58,PCP
