Media Type,Post Date,Political Party
GraphVideo,2024-02-25 00:00:46,PS
GraphSidecar,2024-02-24 23:42:09,PS
GraphImage,2024-02-24 19:08:14,PS
GraphVideo,2024-02-24 16:39:07,PS
GraphVideo,2024-02-24 09:35:15,PS
GraphVideo,2024-02-23 18:08:20,PS
GraphImage,2024-02-23 15:52:49,PS
GraphImage,2024-02-23 10:55:22,PS
GraphVideo,2024-02-22 20:38:49,PS
GraphVideo,2024-02-22 15:43:03,PS
GraphSidecar,2024-02-22 10:30:50,PS
GraphImage,2024-02-22 01:27:51,PS
GraphVideo,2024-02-21 23:12:42,PS
GraphSidecar,2024-02-21 21:34:31,PS
GraphVideo,2024-02-21 16:08:58,PS
GraphImage,2024-02-21 13:41:50,PS
GraphVideo,2024-02-20 22:37:53,PS
GraphSidecar,2024-02-20 22:13:02,PS
GraphImage,2024-02-20 17:44:56,PS
GraphSidecar,2024-02-20 13:14:52,PS
GraphVideo,2024-02-20 00:16:24,PS
GraphVideo,2024-02-19 23:22:55,PS
GraphVideo,2024-02-19 17:17:14,PS
GraphImage,2024-02-19 13:22:41,PS
GraphImage,2024-02-18 23:57:32,PS
GraphVideo,2024-02-18 19:12:41,PS
GraphVideo,2024-02-18 12:55:34,PS
GraphImage,2024-02-18 10:07:45,PS
GraphVideo,2024-02-17 21:51:05,PS
GraphVideo,2024-02-17 19:33:28,PS
GraphImage,2024-02-17 18:48:20,PS
GraphImage,2024-02-17 14:59:05,PS
GraphImage,2024-02-17 12:34:21,PS
GraphVideo,2024-02-17 10:59:17,PS
GraphVideo,2024-02-16 23:20:10,PS
GraphVideo,2024-02-16 22:25:27,PS
GraphVideo,2024-02-16 17:21:13,PS
GraphImage,2024-02-16 16:22:50,PS
GraphSidecar,2024-02-16 13:50:48,PS
GraphImage,2024-02-16 10:26:01,PS
GraphVideo,2024-02-15 23:32:40,PS
GraphVideo,2024-02-15 20:02:18,PS
GraphSidecar,2024-02-15 16:45:08,PS
GraphVideo,2024-02-15 09:04:21,PS
GraphVideo,2024-02-14 23:31:16,PS
GraphVideo,2024-02-14 22:22:05,PS
GraphImage,2024-02-14 18:33:14,PS
GraphVideo,2024-02-14 09:30:24,PS
GraphSidecar,2024-02-13 22:13:05,PS
GraphVideo,2024-02-13 18:06:08,PS
GraphVideo,2024-02-13 15:36:02,PS
GraphSidecar,2024-02-12 23:46:06,PS
GraphVideo,2024-02-12 22:04:34,PS
GraphVideo,2024-02-12 19:20:08,PS
GraphVideo,2024-02-12 15:29:59,PS
GraphVideo,2024-02-12 12:46:29,PS
GraphSidecar,2024-02-11 23:09:03,PS
GraphImage,2024-02-11 19:33:25,PS
GraphVideo,2024-02-11 12:45:33,PS
GraphVideo,2024-02-11 00:17:09,PS
GraphVideo,2024-02-10 22:28:07,PS
